MOF,Predicted Value,Model,Features
mof_7484,38.02769230418063,LinearRegression,Density
mof_701,38.02769230418063,LinearRegression,Density
mof_653,38.02769230418063,LinearRegression,Density
mof_700,38.02769230418063,LinearRegression,Density
mof_10598,38.02769230418063,LinearRegression,Density
mof_652,38.02769230418063,LinearRegression,Density
mof_10560,38.02769230418063,LinearRegression,Density
mof_10597,38.02769230418063,LinearRegression,Density
mof_10515,38.02769230418063,LinearRegression,Density
mof_10512,38.02769230418063,LinearRegression,Density
mof_10472,38.02769230418063,LinearRegression,Density
mof_10644,38.02769230418063,LinearRegression,Density
mof_10801,38.02769230418063,LinearRegression,Density
mof_10600,38.02769230418063,LinearRegression,Density
mof_9722,38.02769230418063,LinearRegression,Density
mof_365,38.02769230418063,LinearRegression,Density
mof_10604,38.02769230418063,LinearRegression,Density
mof_10646,38.02769230418063,LinearRegression,Density
mof_749,38.24889934773827,LinearRegression,Density
mof_10653,38.02769230418063,LinearRegression,Density
mof_10602,38.02769230418063,LinearRegression,Density
mof_10842,38.02769230418063,LinearRegression,Density
mof_10893,38.02769230418063,LinearRegression,Density
mof_10846,38.02769230418063,LinearRegression,Density
mof_10805,38.02769230418063,LinearRegression,Density
mof_10652,38.02769230418063,LinearRegression,Density
mof_10475,38.02769230418063,LinearRegression,Density
mof_10607,38.02769230418063,LinearRegression,Density
mof_748,38.24889934773827,LinearRegression,Density
mof_10517,38.02769230418063,LinearRegression,Density
mof_10894,38.02769230418063,LinearRegression,Density
mof_10715,38.02769230418063,LinearRegression,Density
mof_10807,38.02769230418063,LinearRegression,Density
mof_10521,38.02769230418063,LinearRegression,Density
mof_10611,38.24889934773827,LinearRegression,Density
mof_10895,38.02769230418063,LinearRegression,Density
mof_10654,38.02769230418063,LinearRegression,Density
mof_10568,38.24889934773827,LinearRegression,Density
mof_10612,38.24889934773827,LinearRegression,Density
mof_10850,38.02769230418063,LinearRegression,Density
mof_368,38.02769230418063,LinearRegression,Density
mof_10656,38.24889934773827,LinearRegression,Density
mof_10851,38.24889934773827,LinearRegression,Density
mof_10855,38.24889934773827,LinearRegression,Density
