Features,Model,MSE,R²
Density,SK_RF,0.23906061116138336,0.9815273142801908
Density,XG_RF,0.34008324879193613,0.9737210954871017
Density,SK_GB,0.23884266270593169,0.9815441555879292
Density,SK_LR,6.310490403470054,0.5123759393282921
GSA,SK_RF,2.3159166025973486,0.8210445487224638
GSA,XG_RF,2.1121968471305532,0.8367863767022894
GSA,SK_GB,2.149323441190185,0.8339175314308803
GSA,SK_LR,3.899292919613346,0.6986939325405279
VSA,SK_RF,11.565996009645035,0.10627263820342725
VSA,XG_RF,11.16371709835265,0.1373575244333658
VSA,SK_GB,11.301670969632564,0.12669755625372914
VSA,SK_LR,11.706326855319581,0.09542899651629477
VF,SK_RF,0.38415958556076146,0.9703152298664315
VF,XG_RF,0.3921881729639799,0.9696948450562648
VF,SK_GB,0.38399154695891535,0.9703282145411782
VF,SK_LR,5.709746388766967,0.5587966161924327
PV,SK_RF,0.12586667907033666,0.9902740330422196
PV,XG_RF,0.2524968166909472,0.9804890721339476
PV,SK_GB,0.1256486634442366,0.9902908795403665
PV,SK_LR,1.726845952422229,0.8665632016472765
LCD,SK_RF,3.7352799057414483,0.711367542151477
LCD,XG_RF,3.565122876843114,0.7245159119418206
LCD,SK_GB,3.7259297090017376,0.7120900503260857
LCD,SK_LR,3.627023146448049,0.7197327558174037
PLD,SK_RF,3.466934137255135,0.7321031498344255
PLD,XG_RF,3.3168100007505963,0.7437035384519128
PLD,SK_GB,3.4815478615519697,0.7309739184866937
PLD,SK_LR,3.6451246144053107,0.7183340196265389
"Density,GSA",SK_RF,0.2372129726693777,0.9816700849567186
"Density,GSA",XG_RF,0.32131041582706155,0.9751717093784738
"Density,GSA",SK_GB,0.20211758008531133,0.9843819752772077
"Density,GSA",SK_LR,3.89588922964704,0.6989569423886572
"Density,VSA",SK_RF,0.2395482881009895,0.9814896305195981
"Density,VSA",XG_RF,0.31011898821746303,0.9760364930999901
"Density,VSA",SK_GB,0.20132426599750988,0.9844432762240675
"Density,VSA",SK_LR,5.405816230023776,0.5822819000121271
"Density,VF",SK_RF,0.07473422734290609,0.9942251386060152
"Density,VF",XG_RF,0.11880901973376638,0.9908193923224815
"Density,VF",SK_GB,0.07279326313231492,0.9943751207451952
"Density,VF",SK_LR,5.622378865956368,0.5655476772859265
"Density,PV",SK_RF,0.06439660670428526,0.9950239469760773
"Density,PV",XG_RF,0.26197935322123683,0.9797563378022665
"Density,PV",SK_GB,0.06462265283312003,0.9950064799451186
"Density,PV",SK_LR,1.0794938535698584,0.916585377253972
"Density,LCD",SK_RF,0.1741035341359482,0.986546675953111
"Density,LCD",XG_RF,0.2855869335229708,0.9779321334325023
"Density,LCD",SK_GB,0.15734807631447642,0.987841403281565
"Density,LCD",SK_LR,2.8894592857496546,0.7767257724870249
"Density,PLD",SK_RF,0.20368457348098407,0.9842608906017246
"Density,PLD",XG_RF,0.28529541218355664,0.9779546598623372
"Density,PLD",SK_GB,0.18836138573148797,0.985444943592081
"Density,PLD",SK_LR,3.111720364910348,0.7595512197945722
"GSA,VSA",SK_RF,0.23029940503432103,0.9822043099865326
"GSA,VSA",XG_RF,0.7442536618339229,0.9424900491800633
"GSA,VSA",SK_GB,0.20467372386839638,0.9841844569970939
"GSA,VSA",SK_LR,1.2792867582998113,0.9011469847885872
"GSA,VF",SK_RF,0.23966040819452888,0.9814809667784625
"GSA,VF",XG_RF,0.289726995124923,0.9776122226932886
"GSA,VF",SK_GB,0.20325035473794748,0.9842944435418547
"GSA,VF",SK_LR,3.895409113837789,0.6989940418857694
"GSA,PV",SK_RF,0.12382420188450384,0.9904318592895486
"GSA,PV",XG_RF,0.26139935901803174,0.9798011551002022
"GSA,PV",SK_GB,0.10405763997165916,0.9919592605799712
"GSA,PV",SK_LR,0.6990423715713264,0.9459836148994456
"GSA,LCD",SK_RF,0.47962949166518254,0.9629380816085107
"GSA,LCD",XG_RF,0.6513382788761034,0.9496698043876529
"GSA,LCD",SK_GB,0.46275553114469925,0.9642419658746348
"GSA,LCD",SK_LR,1.6246869881579196,0.8744572266443174
"GSA,PLD",SK_RF,0.8686620225370544,0.9328767693636146
"GSA,PLD",XG_RF,1.0790871368663517,0.9166168050571738
"GSA,PLD",SK_GB,0.7874726529015613,0.9391504323555218
"GSA,PLD",SK_LR,2.1686048690436857,0.8324276174076687
"VSA,VF",SK_RF,0.34892083003869295,0.9730381981243722
"VSA,VF",XG_RF,0.3957999096687355,0.9694157590256322
"VSA,VF",SK_GB,0.3026927413037879,0.9766103338705276
"VSA,VF",SK_LR,4.021089821590081,0.6892824452991447
"VSA,PV",SK_RF,0.12751662156869178,0.9901465387256954
"VSA,PV",XG_RF,0.23579696589902938,0.9817795025973691
"VSA,PV",SK_GB,0.10813754624441765,0.991643998161889
"VSA,PV",SK_LR,1.3939579877569093,0.8922861123404904
"VSA,LCD",SK_RF,1.706659802702717,0.8681230253164707
"VSA,LCD",XG_RF,2.589268626954198,0.7999220977578886
"VSA,LCD",SK_GB,1.5593790289430314,0.8795037016772299
"VSA,LCD",SK_LR,3.3353839262880407,0.7422682945304258
"VSA,PLD",SK_RF,1.793158231948747,0.8614391207997187
"VSA,PLD",XG_RF,3.1995993430978444,0.7527606375336588
"VSA,PLD",SK_GB,1.628125274247975,0.8741915434853568
"VSA,PLD",SK_LR,3.6193428135818753,0.7203262303114708
"VF,PV",SK_RF,0.06701134883626575,0.9948219006857756
"VF,PV",XG_RF,0.11391781102036576,0.9911973456829857
"VF,PV",SK_GB,0.06436930655326636,0.9950260565126815
