Features,Model,RMSE,R²,MAE
Density,LinearRegression,5.773062044066499,0.7263204845463092,4.479129174140106
Density,SGDRegressor,5.774210438956027,0.7262115914097076,4.4529993591303905
Density,RandomForest,3.7264977261516554,0.8859667338812193,2.75053626544274
Density,GradientBoost,3.7253768244066787,0.8860353242160173,2.750135161759849
Density,XGBoost,3.7325229096816623,0.8855976866670858,2.7582039638186653
GSA,LinearRegression,4.4723665358564375,0.8357502864518787,3.463584509059576
GSA,SGDRegressor,4.472642685701281,0.8357300023660968,3.4645483293308015
GSA,RandomForest,3.877819475164544,0.876517612690611,2.980663314106449
GSA,GradientBoost,3.9247165288176653,0.8735128430518211,3.0155464324712686
GSA,XGBoost,3.9289968212466873,0.8732367990407124,3.01659399604407
VSA,LinearRegression,7.797979541750285,0.5006626808579429,6.370087928470522
VSA,SGDRegressor,7.79809469116631,0.5006479337494341,6.371697530356262
VSA,RandomForest,7.343332349016869,0.5571912329392172,5.785026612259308
VSA,GradientBoost,8.947952975921613,0.34252805083187254,7.880492704678814
VSA,XGBoost,8.913173716584929,0.3476290942764001,7.838658542794621
VF,LinearRegression,4.441772188748884,0.8379897831188992,3.4367494659493016
VF,SGDRegressor,4.442564491568961,0.8379319806947784,3.427128173264235
VF,RandomForest,2.0207765681484,0.966467461095398,1.432350514132483
VF,GradientBoost,2.0236676404697818,0.9663714442027246,1.440288902776497
VF,XGBoost,2.0208150097064728,0.9664661852934883,1.432381843126161
PV,LinearRegression,9.006565075195356,0.33388651627853194,7.330766315351053
PV,SGDRegressor,9.018122559733992,0.33217586726742243,7.443270180940271
PV,RandomForest,3.0575399537490564,0.9232330786735575,2.258660319981179
PV,GradientBoost,3.057915432490175,0.9232142229154705,2.259286057399689
PV,XGBoost,3.061421081340784,0.9230380648262224,2.26527750020786
LCD,LinearRegression,8.223304679734737,0.44470648019753345,6.827183601536963
LCD,SGDRegressor,8.234086976494002,0.44324933735396765,6.739064347834069
LCD,RandomForest,5.928825292341124,0.7113529334235786,4.498224118117127
LCD,GradientBoost,5.932901302254125,0.7109559128764742,4.501864795702872
LCD,XGBoost,5.933652665328463,0.7108826971613018,4.501839470607999
PLD,LinearRegression,7.872452948577757,0.4910794478786136,6.2408207684722825
PLD,SGDRegressor,7.875715575168468,0.4906575306426365,6.3086865453086824
PLD,RandomForest,4.730754100979428,0.816223239671164,3.5898283047081265
PLD,GradientBoost,4.734378889819214,0.8159415056624088,3.5956969962249614
PLD,XGBoost,4.732587578194507,0.8160807609919809,3.5929610650480264
"Density,GSA",LinearRegression,4.2688797106554075,0.8503565621250639,3.311466790722752
"Density,GSA",SGDRegressor,4.270480893689997,0.8502442837352556,3.323615769069943
"Density,GSA",RandomForest,3.0734484240673234,0.9224321593770979,2.2981087679826113
"Density,GSA",GradientBoost,3.1236281302005655,0.9198786067246653,2.335743662768709
"Density,GSA",XGBoost,3.3318033504636886,0.908843306551522,2.492460884580612
"Density,VSA",LinearRegression,5.511038601512829,0.7505998281689908,4.406736463693893
"Density,VSA",SGDRegressor,5.514868987899076,0.750253022030615,4.442859334660713
"Density,VSA",RandomForest,2.7246308123685794,0.9390399703325866,2.018684486333602
"Density,VSA",GradientBoost,3.1157969068113807,0.9202798465440342,2.3271110060368576
"Density,VSA",XGBoost,3.2820154847634075,0.9115473000705655,2.4697290668782848
"Density,VF",LinearRegression,4.418250311997682,0.8397011244419588,3.425705093317092
"Density,VF",SGDRegressor,4.419089269646899,0.8396402420896567,3.446211928932391
"Density,VF",RandomForest,1.9019290175986803,0.9702957595806738,1.353975451903794
"Density,VF",GradientBoost,1.9081170901533746,0.9701021550702689,1.3591606779826908
"Density,VF",XGBoost,2.3220854849114745,0.955722178020097,1.6951957920342784
"Density,PV",LinearRegression,5.678468473902202,0.7352156697360528,4.416852846495691
"Density,PV",SGDRegressor,5.681860362174403,0.7348992509330572,4.378126737443195
"Density,PV",RandomForest,1.7234823464911389,0.975608218500535,1.279163967034708
"Density,PV",GradientBoost,1.7989144323254826,0.9734263717932597,1.348097189398742
"Density,PV",XGBoost,3.365053120845823,0.9070148296267325,2.495178108662533
"Density,LCD",LinearRegression,5.4515476125795175,0.7559552545371331,4.258461737719654
