Features,Model,RMSE,R²,MAE
Density,LinearRegression,5.773062044066499,0.7263204845463092,4.479129174140106
Density,SGDRegressor,5.787192664473408,0.7249790840106558,4.571597248227296
Density,RandomForest,3.7265161449847986,0.8859656066217674,2.750521816315659
Density,GradientBoost,3.7251039512057504,0.8860520187778955,2.7498392636581652
Density,XGBoost,3.7325229096816623,0.8855976866670858,2.7582039638186653
GSA,LinearRegression,4.4723665358564375,0.8357502864518787,3.463584509059576
GSA,SGDRegressor,4.476987593872346,0.835410690146302,3.4568430406796384
GSA,RandomForest,3.8778221602200578,0.8765174416887468,2.9807641234173117
GSA,GradientBoost,3.9247165288176653,0.8735128430518211,3.0155464324712686
GSA,XGBoost,3.9289968212466873,0.8732367990407124,3.01659399604407
VSA,LinearRegression,7.797979541750285,0.5006626808579429,6.370087928470522
VSA,SGDRegressor,7.798637973393142,0.5005783530214654,6.384991639586492
VSA,RandomForest,7.343644651020466,0.5571535680211022,5.784292884047474
VSA,GradientBoost,8.947419597385489,0.3426064309876131,7.879792329638965
VSA,XGBoost,8.913173716584929,0.3476290942764001,7.838658542794621
VF,LinearRegression,4.441772188748884,0.8379897831188992,3.4367494659493016
VF,SGDRegressor,4.443053556843424,0.8378962958090269,3.4177538328884824
VF,RandomForest,2.020778215887058,0.9664674064105961,1.4322212143929365
VF,GradientBoost,2.0236676404697818,0.9663714442027246,1.440288902776497
VF,XGBoost,2.0208150097064728,0.9664661852934883,1.432381843126161
PV,LinearRegression,9.006565075195356,0.33388651627853194,7.330766315351053
PV,SGDRegressor,9.009262465552906,0.3334874657789302,7.397863966033273
PV,RandomForest,3.0575399194543107,0.9232330803956623,2.259035669118976
PV,GradientBoost,3.057915432490175,0.9232142229154705,2.259286057399689
PV,XGBoost,3.061421081340784,0.9230380648262224,2.26527750020786
LCD,LinearRegression,8.223304679734737,0.44470648019753345,6.827183601536963
LCD,SGDRegressor,8.226177427459714,0.4443184374589024,6.78425553181335
LCD,RandomForest,5.928860532776353,0.7113495020259635,4.497634254404585
LCD,GradientBoost,5.932901302254125,0.7109559128764742,4.501864795702872
LCD,XGBoost,5.933652665328463,0.7108826971613018,4.501839470607999
PLD,LinearRegression,7.872452948577757,0.4910794478786136,6.2408207684722825
PLD,SGDRegressor,7.8728545848262685,0.49102751840841263,6.217909500339073
PLD,RandomForest,4.730759810307398,0.8162227960875793,3.589671215717521
PLD,GradientBoost,4.734378889819214,0.8159415056624088,3.5956969962249614
PLD,XGBoost,4.732587578194507,0.8160807609919809,3.5929610650480264
"Density,GSA",LinearRegression,4.2688797106554075,0.8503565621250639,3.311466790722752
"Density,GSA",SGDRegressor,4.269026414483894,0.85034627669003,3.3078080735252544
"Density,GSA",RandomForest,3.073316761451717,0.9224388050497254,2.2981620529419646
"Density,GSA",GradientBoost,3.1236281302005655,0.9198786067246653,2.3357436627687096
"Density,GSA",XGBoost,3.3318033504636886,0.908843306551522,2.492460884580612
"Density,VSA",LinearRegression,5.511038601512829,0.7505998281689908,4.406736463693893
"Density,VSA",SGDRegressor,5.511805561503969,0.7505304063131738,4.403474892975434
"Density,VSA",RandomForest,2.724535720328752,0.9390442253768925,2.0184559982634185
"Density,VSA",GradientBoost,3.115796906811381,0.9202798465440342,2.327111006036857
"Density,VSA",XGBoost,3.2820154847634075,0.9115473000705655,2.4697290668782848
"Density,VF",LinearRegression,4.418250311997682,0.8397011244419588,3.425705093317092
"Density,VF",SGDRegressor,4.418544520414884,0.8396797753352554,3.42677127306643
"Density,VF",RandomForest,1.901945572598951,0.9702952424679491,1.3541536729624801
"Density,VF",GradientBoost,1.9081170901533746,0.9701021550702689,1.3591606779826908
"Density,VF",XGBoost,2.3220854849114745,0.955722178020097,1.6951957920342784
"Density,PV",LinearRegression,5.678468473902202,0.7352156697360528,4.416852846495691
"Density,PV",SGDRegressor,5.685566664091739,0.7345532854180503,4.397129446997629
"Density,PV",RandomForest,1.7236176129718392,0.9756043896015347,1.2793578428291805
"Density,PV",GradientBoost,1.7989144323254826,0.9734263717932597,1.3480971893987421
"Density,PV",XGBoost,3.365053120845823,0.9070148296267325,2.495178108662533
"Density,LCD",LinearRegression,5.4515476125795175,0.7559552545371331,4.258461737719654
"Density,LCD",SGDRegressor,5.45304995909852,0.7558207274928938,4.2885560847740685
"Density,LCD",RandomForest,2.6105442065988527,0.9440381650679696,1.9443693870911007
"Density,LCD",GradientBoost,2.8512744603992246,0.9332412970269157,2.140134240844394
"Density,LCD",XGBoost,3.177876709714454,0.9170714769721139,2.4136375984858947
"Density,PLD",LinearRegression,5.444337070789348,0.756600403849647,4.2437190507889655
"Density,PLD",SGDRegressor,5.444856290569587,0.7565539761911709,4.254681984891604
"Density,PLD",RandomForest,2.940517636559945,0.9289968821829256,2.20977318726862
"Density,PLD",GradientBoost,3.1327637701939692,0.919409261109848,2.370664045411464
"Density,PLD",XGBoost,3.237761208670136,0.913916587795874,2.4559420970733745
"GSA,VSA",LinearRegression,4.439381486904034,0.8381641341997356,3.4694561181797234
"GSA,VSA",SGDRegressor,4.440579864468374,0.8380767496631119,3.456592440656732
"GSA,VSA",RandomForest,2.5882066658380296,0.9449917605978939,1.9077439044336517
"GSA,VSA",GradientBoost,3.1887383427383043,0.9165036270644661,2.393004853100382
"GSA,VSA",XGBoost,3.451231238398444,0.90219119342973,2.613572240416677
"GSA,VF",LinearRegression,3.6913016897351603,0.8881106050614715,2.867772599068416
"GSA,VF",SGDRegressor,3.6914225254855055,0.8881032794828959,2.869241482855302
